site_id,latitude,longitude,description,feature_name,comid,country,origin_study_code,data_source,nearest_eq_distance_km,nearest_eq_id,nearest_eq_magnitude,nearest_eq_depth_km,nearest_eq_depth_category,nearest_eq_year,nearest_eq_place,proximity_category
LSF2,45.2083,-74.2327,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,49.82,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LSF24,45.0378,-74.5253,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,20.19,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LSF25,45.1262,-74.4916,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,28.38,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LSF26,45.181,-74.3737,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,39.29,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LSF3,45.189,-74.2141,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,49.81,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LSF3.5,45.3461,-73.9723,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,75.31,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LSL1,45.4095,-73.8706,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,85.88,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LSL13,44.8976,-75.17,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,33.8,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LSL14,44.9908,-74.9473,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,16.64,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LSL15,45.0099,-74.9389,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,16.8,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LSL16,45.0138,-74.89,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,13.67,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LSL17,45.0261,-74.8901,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,14.48,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LSL18,45.0189,-74.8569,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,11.98,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LSL2,45.3954,-73.843,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,86.71,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LSL3,45.3816,-73.807,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,88.18,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LSPA1,46.2663,-72.7154,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,209.56,ld2002042000,5.3,4.83,Shallow,2002.0,"8 km NNW of Au Sable Forks, New York",Moderate (100-500 km)
LSPA3,46.2638,-72.6952,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,209.88,ld2002042000,5.3,4.83,Shallow,2002.0,"8 km NNW of Au Sable Forks, New York",Moderate (100-500 km)
LSPA4,46.2453,-72.6776,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,208.5,ld2002042000,5.3,4.83,Shallow,2002.0,"8 km NNW of Au Sable Forks, New York",Moderate (100-500 km)
LSPM1,46.226,-72.8541,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,201.61,ld2002042000,5.3,4.83,Shallow,2002.0,"8 km NNW of Au Sable Forks, New York",Moderate (100-500 km)
LSPM2,46.2033,-72.8251,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,199.99,ld2002042000,5.3,4.83,Shallow,2002.0,"8 km NNW of Au Sable Forks, New York",Moderate (100-500 km)
LSPM3,46.1841,-72.8066,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,198.49,ld2002042000,5.3,4.83,Shallow,2002.0,"8 km NNW of Au Sable Forks, New York",Moderate (100-500 km)
M01,46.7237694,-120.8146,stream,Oak Creek,24423655.0,United States,PRT,PNNL_River_Sampling,49.44,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
M01A,46.7284,-120.8099,Open field,Unknown,-9999.0,United States,PRT,PNNL_River_Sampling,49.99,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
M02,46.729449,-120.936802,stream,Oak Creek,24423673.0,United States,PRT,PNNL_River_Sampling,41.64,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
M03,46.716332,-121.00993,stream,Oak Creek,24423679.0,United States,PRT,PNNL_River_Sampling,36.21,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
